addr,name,class,obj,status,reason,seeds_passed,seeds_total,z3_proven
0x1d9260,qsort,stubbable,LIBCMT:qsort.obj,pass,,26,50,0
0x1d9710,strrchr,leaf,LIBCMT:strrchr.obj,not_applicable,missing_build_object,0,0,0
0x1da19f,crt_toupper,stubbable,LIBCMT:vsprintf.obj,not_applicable,missing_build_object,0,0,0
0x1da1d8,crt_tolower,stubbable,LIBCMT:vsprintf.obj,not_applicable,missing_build_object,0,0,0
0x1e6596,__strnicmp,stubbable,LIBCMT:close.obj,not_applicable,missing_build_object,0,0,0
0x1bba0,action_vehicle_find_best_seat,stubbable,actions.obj,pass,,50,50,0
0x1bcd0,action_vehicle_setup_impromptu,stubbable,actions.obj,pass,,70,70,0
0x1beb0,action_wait_perform,stubbable,actions.obj,pass,,65,65,0
0x1c030,action_wait_control,stubbable,actions.obj,pass,,50,50,0
0x1c0e0,action_wait_setup,stubbable,actions.obj,pass,,47,50,0
0x1c190,action_wait_update,stubbable,actions.obj,pass,,70,70,0
0x1c270,encounter_get_squad,stubbable,actions.obj,pass,,50,50,0
0x1c300,actor_action_perform,stubbable,actions.obj,pass,,50,50,0
0x1c370,actor_action_update,stubbable,actions.obj,pass,,50,50,0
0x1c530,actor_action_flush_structure_indices,stubbable,actions.obj,pass,,50,50,0
0x1c5a0,actor_action_handle_panic_from_surprise,stubbable,actions.obj,fail,divergence,0,50,0
0x1c660,actor_action_handle_panic_from_damage,stubbable,actions.obj,pass,,65,65,0
0x1c750,actor_action_handle_panic_from_burning_to_death,stubbable,actions.obj,pass,,50,50,0
0x1c7f0,actor_action_handle_panic_from_attached_projectiles,stubbable,actions.obj,pass,,50,50,0
0x1c880,actor_action_handle_panic_from_attached_melee_attackers,stubbable,actions.obj,pass,,50,50,0
0x1c8d0,actor_action_handle_berserking_from_attacking_mode,stubbable,actions.obj,pass,,90,90,0
0x1c940,actor_action_handle_berserking_from_proximity,stubbable,actions.obj,pass,,55,55,0
0x1ca00,actor_action_handle_berserking_from_damage,stubbable,actions.obj,pass,,60,60,0
0x1ca90,actor_action_deny_transition,stubbable,actions.obj,fail,divergence,0,50,0
0x1cb30,actor_action_vehicle_entry_allowed,stubbable,actions.obj,pass,,50,50,0
0x1cb70,actor_action_handle_vehicle_exit,stubbable,actions.obj,pass,,70,70,0
0x1ccc0,actor_action_allow_cover_seeking,stubbable,actions.obj,pass,,50,50,0
0x1cf10,actor_action_can_stop_guarding,stubbable,actions.obj,pass,,55,55,0
0x1cfa0,actor_action_can_stop_conversing,stubbable,actions.obj,pass,,50,50,0
0x1d030,actor_action_change,stubbable,actions.obj,pass,,89,90,0
0x1d180,actor_action_test_grenade,stubbable,actions.obj,pass,,75,75,0
0x1d350,actor_action_try_to_seek_cover,stubbable,actions.obj,pass,,50,50,0
0x1d3c0,actor_action_try_to_panic,stubbable,actions.obj,not_applicable,"oracle_vacuous_early_exit: 69.8% coverage, identical entry-point path across 50 seeds",50,50,0
0x1d420,actor_action_try_to_enter_vehicle,stubbable,actions.obj,pass,,55,55,0
0x1d4f0,actor_get_pursuit_location,stubbable,actions.obj,pass,,50,50,0
0x1d530,actor_pursuit_consider_nearby_actor,stubbable,actions.obj,pass,,50,50,0
0x1d5f0,actor_mode_name,data_only,actions.obj,pass,,50,50,0
0x1d620,actor_action_debug_color,stubbable,actions.obj,pass,,50,50,0
0x1d760,set_real_vector2d,leaf,actions.obj,pass,,50,50,0
0x1d780,set_real_vector3d,leaf,actions.obj,pass,,50,50,0
0x1d7a0,point_to_line_distance3d,stubbable,actions.obj,pass,,50,50,0
0x1dab0,actor_action_handle_initial_action,stubbable,actions.obj,pass,,50,50,0
0x1daf0,actor_action_handle_pending_command_list,stubbable,actions.obj,pass,,65,65,0
0x1db90,actor_action_handle_surprise,stubbable,actions.obj,pass,,50,50,0
0x1dd40,actor_action_handle_panic_transition,stubbable,actions.obj,pass,,70,70,0
0x1dea0,actor_action_handle_combat_targeting,stubbable,actions.obj,pass,,55,55,0
0x1dfa0,actor_action_handle_vehicle_entry,stubbable,actions.obj,pass,,65,65,0
0x1e700,actor_action_handle_active_cover_seeking,stubbable,actions.obj,pass,,85,85,0
0x1e8a0,actor_action_handle_combat_selection,stubbable,actions.obj,pass,,70,70,0
0x1ef90,actor_action_handle_lost_contact,stubbable,actions.obj,fail,divergence,0,50,0
0x1f6e0,actor_action_handle_done_fleeing,stubbable,actions.obj,pass,,60,60,0
0x1f770,actor_action_handle_combat_status,stubbable,actions.obj,fail,divergence,0,50,0
0x1f9a0,actor_action_handle_exit_pursuit,stubbable,actions.obj,pass,,70,70,0
0x1fa60,actor_action_try_to_throw_grenade,stubbable,actions.obj,pass,,50,50,0
0x1fb80,actor_action_consider_grenade,stubbable,actions.obj,pass,,85,85,0
0x1fca0,actor_action_try_to_evade,stubbable,actions.obj,pass,,55,55,0
0x1fe70,actor_action_try_to_dive,stubbable,actions.obj,pass,,70,70,0
0x20140,actors_searching_same_position,stubbable,actions.obj,pass,,70,70,0
0x20280,actor_pursuit_find_nearby_actors,stubbable,actions.obj,pass,,50,50,0
0x204f0,actor_action_handle_combat_transition,stubbable,actions.obj,pass,,55,55,0
0x205a0,actor_action_handle_grenade_throwing,stubbable,actions.obj,pass,,65,65,0
0x20670,actor_action_handle_evasion,stubbable,actions.obj,pass,,80,80,0
0x21080,actor_firing_blindly,stubbable,actions.obj,pass,,50,50,0
0x210b0,actor_combat_currently_firing_burst,stubbable,actions.obj,pass,,50,50,0
0x210f0,actor_get_weapon_definition,stubbable,actions.obj,not_applicable,"oracle_vacuous_early_exit: 90.9% coverage, identical entry-point path across 50 seeds",50,50,0
0x36860,FUN_00036860,stubbable,actors.obj,pass,,50,50,0
0x36890,FUN_00036890,stubbable,actors.obj,pass,,50,50,0
0x36a90,FUN_00036a90,stubbable,actors.obj,fail,divergence,0,50,0
0x36b10,FUN_00036b10,stubbable,actors.obj,fail,divergence,0,50,0
0x36b50,FUN_00036b50,stubbable,actors.obj,fail,divergence,0,50,0
0x36c00,FUN_00036c00,stubbable,actors.obj,pass,,50,50,0
0x36c50,FUN_00036c50,stubbable,actors.obj,pass,,50,50,0
0x36e50,FUN_00036e50,stubbable,actors.obj,pass,,60,60,0
0x36f20,FUN_00036f20,stubbable,actors.obj,pass,,60,60,0
0x37240,FUN_00037240,stubbable,actors.obj,fail,divergence,47,50,0
0x373b0,FUN_000373b0,stubbable,actors.obj,fail,divergence,0,50,0
0x374f0,FUN_000374f0,stubbable,actors.obj,fail,divergence,0,50,0
0x37630,FUN_00037630,stubbable,actors.obj,pass,,90,90,0
0x377d0,FUN_000377d0,stubbable,actors.obj,pass,,90,90,0
0x378e0,FUN_000378e0,stubbable,actors.obj,fail,divergence,0,50,0
0x379f0,FUN_000379f0,stubbable,actors.obj,pass,,55,55,0
0x37b50,FUN_00037b50,stubbable,actors.obj,pass,,55,55,0
0x37d50,FUN_00037d50,stubbable,actors.obj,pass,,55,55,0
0x38000,FUN_00038000,stubbable,actors.obj,pass,,55,55,0
0x38200,FUN_00038200,stubbable,actors.obj,pass,,55,55,0
0x38370,FUN_00038370,stubbable,actors.obj,not_applicable,"oracle_vacuous_early_exit: 7.8% coverage, identical entry-point path across 50 seeds",50,50,0
0x38880,FUN_00038880,stubbable,actors.obj,pass,,55,55,0
0x38b10,FUN_00038b10,stubbable,actors.obj,pass,,55,55,0
0x38c70,FUN_00038c70,stubbable,actors.obj,pass,,55,55,0
0x38da0,FUN_00038da0,stubbable,actors.obj,pass,,50,50,0
0x38e00,FUN_00038e00,stubbable,actors.obj,pass,,50,50,0
0x38e60,FUN_00038e60,stubbable,actors.obj,not_applicable,"oracle_vacuous_early_exit: 3.6% coverage, identical entry-point path across 70 seeds",70,70,0
0x39c80,FUN_00039c80,stubbable,actors.obj,pass,,54,55,0
0x39f30,FUN_00039f30,stubbable,actors.obj,pass,,55,55,0
0x3a190,FUN_0003a190,stubbable,actors.obj,pass,,55,55,0
0x3a3b0,FUN_0003a3b0,stubbable,actors.obj,pass,,55,55,0
0x3a480,FUN_0003a480,stubbable,actors.obj,pass,,55,55,0
0x3a600,FUN_0003a600,stubbable,actors.obj,pass,,90,90,0
0x3a760,FUN_0003a760,stubbable,actors.obj,inconclusive,"vacuous_output: 1 unique return(s), no scratch or memory variation across 50 seeds",50,50,0
0x3a770,FUN_0003a770,stubbable,actors.obj,inconclusive,"vacuous_output: 1 unique return(s), no scratch or memory variation across 50 seeds",50,50,0
0x3a790,FUN_0003a790,stubbable,actors.obj,inconclusive,"vacuous_output: 1 unique return(s), no scratch or memory variation across 50 seeds",50,50,0
0x3a7b0,FUN_0003a7b0,stubbable,actors.obj,inconclusive,"vacuous_output: 1 unique return(s), no scratch or memory variation across 50 seeds",50,50,0
0x3a7d0,FUN_0003a7d0,stubbable,actors.obj,inconclusive,"vacuous_output: 1 unique return(s), no scratch or memory variation across 50 seeds",50,50,0
